facility_id|license|dba_name|facility_type|address|city|state|zip|latitude|longitude|location|has_location
29202|2543185|GOOD FOODS HEALTH CENTER LLC|Restaurant|1966 E 73RD ST|CHICAGO|IL|60649|41.762619|-87.576682|"
,  
(41.7626185060192, -87.5766815692251)"|t
29203|2543188|BROOKLYN BOULDERS CHICAGO|Grocery Store|100 S MORGAN ST |CHICAGO|IL|60607|41.880344|-87.652135|(41.880343779167475, -87.65213497538267)|t
29204|2543227|ROSE FOOD MART|Grocery Store|11300 S WENTWORTH AVE |CHICAGO|IL|60628|41.688846|-87.627944|(41.688845980258904, -87.62794434817805)|t
29205|2543230|La PILLUELITA  DE MICHOACAN|Restaurant|3356 W 63RD ST |CHICAGO|IL|60629|41.779006|-87.707795|(41.77900603952042, -87.70779461927461)|t
29206|2543232|RIVERVIEW TAVERN AND GRILL|Restaurant|1954-1958 W ROSCOE ST |CHICAGO|IL|60657|41.943328|-87.678184|(41.943328037206484, -87.67818416456056)|t
29207|2543234|RIVERVIEW TAVERN AND GRILL|Restaurant|1954-1958 W ROSCOE ST |CHICAGO|IL|60657|41.943328|-87.678184|(41.943328037206484, -87.67818416456056)|t
29208|2543241|RHODES FOOD MARKET|Grocery Store|525 E MARQUETTE RD|CHICAGO|IL|60637|41.774740|-87.612038|"
,  
(41.77474041266132, -87.61203766276827)"|t
29209|2543249|Serenity Cafe Inc.|Restaurant|6413 N Kinzua AVE |CHICAGO|IL|60646|41.997744|-87.765453|(41.9977441821896, -87.76545323972377)|t
29210|2543253|SOUTH LOOP MONTESSORI SCHOOL|Daycare Above and Under 2 Years|47 W POLK ST|CHICAGO|IL|60605|41.872167|-87.629577|"
,  
(41.87216695780119, -87.62957679729978)"|t
29211|2543270|F & G FOOD AND MEAT INC,|Grocery Store|2501 W PERSHING RD |CHICAGO|IL|60632|41.822817|-87.687411|(41.82281651478599, -87.68741130433041)|t
29212|2543276|ESTHER'S ICE CREAM|Mobile Food Dispenser|4825 W ARTHINGTON ST |CHICAGO|IL|60644|41.869236|-87.745893|(41.86923620697448, -87.74589271238392)|t
29213|2543287|AUGUSTA FOOD MARKET INC.|Grocery Store|1000 N HAMLIN AVE |CHICAGO|IL|60651|41.899151|-87.721462|(41.89915058623179, -87.72146228597416)|t
29214|2543292|NUTRICION TOTAL|Restaurant|5550 W BELMONT AVE |CHICAGO|IL|60641|41.938689|-87.766123|(41.93868859359603, -87.76612343785888)|t
29215|2543316|KREATIVE KIDZ ACADEMY VI INC.|Daycare Above and Under 2 Years|1400 W GARFIELD BLVD |CHICAGO|IL|60609|41.794211|-87.659787|(41.794210943335344, -87.65978679572046)|t
29216|2543343|SERGIE'S PIZZERIA INC.|Restaurant|2364 N LINCOLN AVE |CHICAGO|IL|60614|41.924971|-87.648307|(41.924970701649166, -87.64830656797486)|t
29217|2543388|HAROLDS CHICKEN WEST LOOP 47|Restaurant|1505 W MADISON ST|CHICAGO|IL|60607|41.881372|-87.664663|"
,  
(41.8813723771897, -87.66466303702968)"|t
29218|2543390|SHREE HARI MANAGEMENT INC.|Liquor|3014 N ASHLAND AVE |CHICAGO|IL|60657|41.936532|-87.668696|(41.936531736161136, -87.66869564794223)|t
29219|2543407|CAPTAIN HOOKS FISH & CHICKEN|Restaurant|8554 S COTTAGE GROVE AVE|CHICAGO|IL|60619|41.738714|-87.605028|"
,  
(41.7387135956648, -87.60502774566517)"|t
29220|2543409|MAPLEWOOD BREWING COMPANY|Liquor|2717 N MAPLEWOOD AVE|CHICAGO|IL|60647|41.930957|-87.691376|"
,  
(41.93095692249829, -87.69137628601092)"|t
29221|2543422|BERCO'S POPCORN LLC.|POPCORN CORN|904 W ARMITAGE AVE|CHICAGO|IL|60614|41.918250|-87.651170|"
,  
(41.91825002509258, -87.6511696207446)"|t
29222|2543440|STARBUCKS COFFEE#27509|Restaurant|1920 N MILWAUKEE AVE |CHICAGO|IL|60647|41.916299|-87.686827|(41.91629912474653, -87.68682685996099)|t
29223|2543446|LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP|Restaurant|1801 W JACKSON BLVD |CHICAGO|IL|60612|41.877432|-87.671768|(41.87743204716797, -87.6717679389119)|t
29224|2543447|LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP|Restaurant|1801 W JACKSON BLVD|CHICAGO|IL|60612|41.877432|-87.671768|"
,  
(41.87743204716797, -87.6717679389119)"|t
29225|2543487|THE  VERANDA ON THORNDALE|Restaurant|1100-1102 W THORNDALE AVE |CHICAGO|IL|60660|41.990166|-87.658321|(41.99016589063192, -87.6583208643017)|t
29226|2543495|FRESH ZABIHA HALAL SUPER MARKET|Grocery Store|2650 W DEVON AVE |CHICAGO|IL|60659|41.997719|-87.696810|(41.99771932496398, -87.69680986396408)|t
29227|2543503|TAQUERIA CORAL, INC.|Restaurant|3131 N CENTRAL AVE |CHICAGO|IL|60634|41.937695|-87.766319|(41.93769482064946, -87.76631878609123)|t
29228|2543509|PITA PIT|Restaurant|2404 N LINCOLN AVE |CHICAGO|IL|60614|41.925519|-87.649070|(41.9255190990995, -87.64907013845294)|t
29229|2543526|B & P'S SWEETS AND TREATS|Grocery Store|214 N HOMAN AVE |CHICAGO|IL|60624|41.885103|-87.711278|(41.88510313446372, -87.71127828682762)|t
29230|25441|SPENCER MATH AND SCIENCE ACADEMY|PUBLIC SHCOOL|214 N LAVERGNE ST|CHICAGO|IL|60644|41.884883|-87.750482|"
,  
(41.88488257290063, -87.75048168878546)"|t
29231|25451|JOHN SPRY COMMUNITY SCHOOL|School|2400 S Marshall|CHICAGO|IL|60623|41.848155|-87.699127|"
,  
(41.84815451265938, -87.69912725261035)"|t
29232|25458|CUBBY'S RED HOTS|Restaurant|3329 N MILWAUKEE AVE |CHICAGO|IL|60641|41.941702|-87.727891|(41.941701770957565, -87.72789069244538)|t
29233|25471|STEVENSON ELEMENTARY|School|8010 S Kostner|CHICAGO|IL|60652|41.747111|-87.731702|"
,  
(41.74711092556008, -87.73170248219492)"|t
29234|25472|Stevenson Middle School (Branch)|School|4350 W 79th St|CHICAGO|IL|60652|41.749511|-87.731156|"
,  
(41.74951110524599, -87.73115569328665)"|t
29235|2548671|STEINGOLD'S OF CHICAGO|Restaurant|1840 W IRVING  PARK RD |CHICAGO|IL|60613|41.954305|-87.675786|(41.9543049818164, -87.67578577985408)|t
29236|2548684|SUSHI WORLD|Restaurant|6251 N MCCORMICK RD|CHICAGO|IL|60659|41.995479|-87.712875|"
,  
(41.99547887896528, -87.71287526525123)"|t
29237|2548687|TEA LUV LLC/OOOH WEE SWEET TEA|Restaurant|7601 S CICERO AVE |CHICAGO|IL|60652|41.754660|-87.741385|(41.75466012439374, -87.74138475860521)|t
29238|2548699|FINGA LICKING CHICAGO, LLC|Restaurant|5045 W MADISON ST|CHICAGO|IL|60644|41.880306|-87.751717|"
,  
(41.88030582835862, -87.75171718045803)"|t
29239|2548708|BUENA NUTRICION|Herbalife Nutrition|4620 S MARSHFIELD AVE|CHICAGO|IL|60609|41.809750|-87.666358|"
,  
(41.80974952642327, -87.66635763328958)"|t
29240|2548768|ART OF PIZZA ON STATE STREET|Restaurant|727 S STATE ST|CHICAGO|IL|60605|41.872439|-87.627398|"
,  
(41.872439229976706, -87.62739752093105)"|t
29241|2548779|FAMILY FRESH MEAT MART|Grocery Store|457 E 79th ST |CHICAGO|IL|60619|41.751047|-87.612643|(41.7510468251433, -87.61264331123509)|t
29242|2548782|HALE FAMILY MCDONALD'S|Restaurant|600 E 115TH ST|CHICAGO|IL|60628|41.685581|-87.608207|"
,  
(41.6855811783059, -87.60820711529922)"|t
29243|2548783|DUNKIN DONUTS|Restaurant|10351 S TORRENCE AVE|CHICAGO|IL|60617|41.706707|-87.559499|"
,  
(41.706707034021825, -87.5594991851019)"|t
29244|2548786|BOUNCE SPORTING CLUB CHICAGO|Restaurant|324-326 W CHICAGO AVE |CHICAGO|IL|60654|41.896669|-87.636710|(41.89666949224299, -87.63670982192384)|t
29245|2548789|BOUNCE SPORTING CLUB CHICAGO|Restaurant|324-326 W CHICAGO AVE |CHICAGO|IL|60654|41.896669|-87.636710|(41.89666949224299, -87.63670982192384)|t
29246|2548795|BLACK DOG GELATO|Mobile Food Dispenser|324 N Leavitt ST |CHICAGO|IL|60612|41.887434|-87.681849|(41.88743405025222, -87.68184949426895)|t
29247|2548796|EDDIE CAFE INC.|Restaurant|4807 N SPAULDING AVE |CHICAGO|IL|60625|41.968692|-87.710781|(41.96869167173921, -87.71078092200098)|t
29248|2548813|AFC Sushi @ Tony's Finer Foods #1667|Grocery Store|5630 W BELMONT AVE|CHICAGO|IL|60634|41.938669|-87.767776|"
,  
(41.938669321442646, -87.76777554340843)"|t
29249|2548831|GUIDEPOST FIC B LLC|Children's Services Facility|1530 N DAMEN AVE|CHICAGO|IL|60622|41.909188|-87.677577|"
,  
(41.90918757211958, -87.67757673794941)"|t
29250|2548877|KING'S MARKET|Grocery Store|400 E 71st ST |CHICAGO|IL|60619|41.765823|-87.615206|(41.765822540753675, -87.61520620272347)|t
29251|2548884|CHEESE STEAK & HOAGIES|Restaurant|3144 W MARQUETTE RD |CHICAGO|IL|60629|41.771794|-87.702302|(41.77179360336643, -87.7023022767635)|t
29252|2548904|HONEYGROW, LLC|Restaurant|179 N MORGAN ST |CHICAGO|IL|60607|41.885367|-87.651987|(41.88536698512989, -87.65198699351676)|t
29253|2548908|PILSEN YARDS|Restaurant|1159-1163 W 18TH ST|CHICAGO|IL|60608|41.857859|-87.655509|"
,  
(41.8578590994683, -87.65550935859257)"|t
29254|2548909|MONNIE BURKE'S RESTAURANT|Restaurant|1159-1163 W 18TH ST |CHICAGO|IL|60608|41.857859|-87.655509|(41.8578590994683, -87.65550935859257)|t
